objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Monopoly Kompakt","36611","0","0","0","1","0","0","0","0","0","0","0","3","","35-1","","","","53783666","5.31814","4.3778","1.5263","29783","1029","thing","Monopoly: The Portable Property Trading Game","2","6","120","120","120","2015","3,4,5,6","4,5,6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Hasbro","German","2015","German edition 2015"
"Monopoly Milliomos","130240","0","0","0","1","0","0","0","0","0","0","0","3","","35-1","","","","53767966","5.44826","5.15007","1.8","29350","1221","thing","Monopoly Millionaire","2","4","60","60","60","2012","3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Hasbro","Hungarian","2012","Hungarian edition"
"Monopoly: London Underground Edition","51336","0","0","0","1","0","0","0","0","0","0","0","3","","01-1","","","","59049171","0","5.57143","0","0","27","thing","Monopoly: London Underground Edition","2","6","60","60","60","2008","","","","","","","","","","standalone","","Parker Brothers; Winning Moves UK Ltd.","English","2008","English edition"
"Monopoly: Magyarország","363937","0","0","0","1","0","0","0","0","0","0","0","3","","35-1
36-1","","","","98175941","0","5.6","0","0","14","thing","Monopoly: Magyarország","2","6","0","0","0","2011","","","","","","","","","","standalone","","Hasbro","Hungarian","2011","Hungarian edition"
"Monopoly: Star Wars","183521","0","0","0","1","0","0","0","0","0","0","0","3","","35-1","","","","59816633","5.45682","5.24214","1.6364","29203","1250","thing","Monopoly: Star Wars","2","4","60","60","20","2015","2,4","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Hasbro","Hungarian","2015","Hungarian edition"
"Monopoly: Szélhámosok Kiadás","254617","0","0","0","1","0","0","0","0","0","0","0","3","","35-1","","","","55033511","5.37376","5.05045","1.3333","29720","2800","thing","Monopoly: Cheaters Edition","2","6","180","180","60","2018","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Hasbro","Hungarian","2018","Hungarian edition"
"Monster HR","455346","0","0","0","1","0","0","0","0","0","0","0","3","","25-4","","","","138748364","0","7.4375","2","0","23","thing","Monster HR","2","5","30","30","30","2025","2,3,4,5","4,5","","","","","","","","standalone","","Pagony játék","Hungarian","2025","Hungarian edition"
"MONSTER PARK","270271","0","0","0","1","0","0","0","0","0","0","0","3","","22-4","","","","86803065","5.50042","5.698","1","25004","73","thing","MONSTER PARK","2","4","40","40","20","2019","4","4","4+","","","","","","","standalone","","","","",""
"Monster-Bande","261265","0","0","0","1","0","0","0","0","0","0","0","3","","08-1","","","","115174214","5.52878","6.8209","1","16655","167","thing","Monster-Bande","2","8","25","25","25","2018","4,5,6,7,8","4","5–10","No necessary in-game text","","","","","","standalone","","Drei Hasen in der Abendsonne","English; French; German; Italian","2018","Multilingual edition"
"Monstermania","67041","0","0","0","1","0","0","0","0","0","0","0","3","","19-1","","","","53572278","5.50054","5.53077","1","24978","69","thing","Monstermania","2","5","15","15","15","2010","","","","","","","","","","standalone","","Piatnik","Czech; French; German; Hungarian; Slovak","2010","Multilingual first edition"
"Monumental","248125","0","0","0","1","0","0","0","0","0","0","0","3","","76-5","","","","106285294","6.3736","7.40884","2.8919","1634","4708","thing","Monumental","1","4","120","120","90","2023","1,2,3","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gém Klub Kft.","Hungarian","2023","Hungarian edition"
"Moons","169743","0","0","0","1","0","0","0","0","0","0","0","3","","03-2","","","","68144636","5.52447","5.76179","1.5","17708","689","thing","Moons","3","6","20","20","20","2017","3,4,5","4","8","","","","","","","standalone","","Quick Simple Fun Games","English","2017","English edition"
"Moorea","247984","0","0","0","1","0","0","0","0","0","0","0","3","","06-2","","","","83377929","5.56549","6.2253","2","11491","473","thing","Moorea","2","5","30","30","30","2018","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","dlp games","English; French; German","2018","English/French/German edition"
"Mosaic: A civilizáció története","329551","0","0","0","1","0","0","0","0","0","0","0","3","","76-5","","","","112992180","6.80844","7.47155","3.0391","733","8603","thing","Mosaic: A Story of Civilization","2","6","120","120","120","2023","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gém Klub Kft.","Hungarian","2023","Hungarian edition"
"Mosómaci Almája","363482","0","0","0","1","0","0","0","0","0","0","0","3","","21-4","","","","98746128","0","0","0","0","6","thing","Mosómaci Almája","2","4","0","0","0","0","","","","","","","","","","standalone","","Keller & Mayer","Hungarian","0","Hungarian edition"
"Motívumok","379583","0","0","0","1","0","0","0","0","0","0","0","3","","53-3","","","","113714084","5.88163","7.64649","1.85","3944","1072","thing","Patterns","2","2","20","20","20","2023","2","2","","No necessary in-game text","","","","","","standalone","","Compaya.hu: Gamer Café Kft.","Hungarian","2023","Hungarian edition"
"Moving Day","400276","0","0","0","1","0","0","0","0","0","0","0","3","","32-4","","","","123481497","5.54124","6.87808","2","14217","135","thing","Moving Day","2","4","40","40","20","2024","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","Piatnik","Czech; English; French; German; Hungarian; Slovak","2024","Multilingual edition"
"MOW","38984","0","0","0","1","0","0","0","0","0","0","0","3","","04-4","","","","53665798","5.75596","6.12337","1.0794","5272","2787","thing","MOW","2","10","15","15","15","2011","3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","Hurrican","English; Greek; Turkish","2011","English/Greek/Turkish edition"
"Mozzaroller","331056","0","0","0","1","0","0","0","0","0","0","0","3","","17-2","","","","84245305","5.54813","6.70943","1.125","13271","202","thing","Mozzaroller","1","4","30","30","20","2021","1,2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","Piatnik","Czech; French; German; Hungarian; Polish; Slovak; Spanish","2021","Multilingual edition"
"Mr. Jack","21763","0","0","0","1","0","0","0","0","0","0","0","3","","52-3","","","","54878053","6.76801","6.95957","2.1689","792","25218","thing","Mr. Jack","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","standalone","","Hurrican","Hungarian; Italian; Romanian; Spanish","2016","Hungarian/Italian/Romanian/Spanish edition"
"Mr. Jack in New York","55427","0","0","0","1","0","0","0","0","0","0","0","3","","52-3","","","","53572294","6.49549","7.17297","2.5244","1316","5906","thing","Mr. Jack in New York","2","2","30","30","30","2009","2","2","10+","No necessary in-game text","","","","","","standalone","","Hurrican","Dutch; English; French; German; Italian; Portuguese; Spanish","2009","Multilingual edition 2009"
"Mr. Jack Pocket","72287","0","0","0","1","0","0","0","0","0","0","0","3","","52-3","","","","53665877","6.54189","6.83178","1.8244","1200","15224","thing","Mr. Jack Pocket","2","2","15","15","15","2010","2","2","8+","No necessary in-game text","","","","","","standalone","","Hurrican","Dutch; English; French; German; Spanish","2010","Multilingual edition 2010"
"MS Batory","233094","0","0","0","1","0","0","0","0","0","0","0","3","","14-1","","","","66647051","5.52437","5.96891","2","17743","278","thing","MS Batory","2","4","60","60","30","2018","2,3,4","2","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Granna","Hungarian","2018","Hungarian edition"
"Mu Csacsi","21854","0","0","0","1","0","0","0","0","0","0","0","3","","21-3","","","","53572299","5.59601","6.14699","1.2368","9428","531","thing","Los Mampfos","2","5","20","20","20","2006","2,3,4,5","3,4","5–10","No necessary in-game text","","","","","","standalone","","Piatnik; Zoch Verlag","Hungarian","0","Hungarian edition"
"Muffin Time","286735","0","0","0","1","0","0","0","0","0","0","0","3","","04-5","","","","136916464","5.6938","6.22558","1.0286","6318","3586","thing","Muffin Time","2","8","40","40","20","2025","3,4,5,6","4,5","8+","Unplayable in another language","","","","","","standalone","","Big Potato Games; Reflexshop","Hungarian","2025","Hungarian edition"
"Műgyűjtők társasága","395375","0","0","0","1","0","0","0","0","0","0","0","3","","28-4","","","","122834386","6.60364","7.48767","1.8427","1074","6377","thing","Art Society","2","4","60","60","30","2024","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Múlt-Kor: A kocka el van vetve","291732","0","0","0","1","0","0","0","0","0","0","0","3","","15-4","","","","66187702","0","7.42857","1.6667","0","28","thing","Múlt-Kor: A kocka el van vetve","3","6","60","60","30","2019","","","","Unplayable in another language","","","","","","standalone","","Múlt-kor","Hungarian","2019","Hungarian edition"
"Multiplayer Pentago","56690","0","0","0","1","0","0","0","0","0","0","0","3","","18-5","","","","124692661","5.54878","6.20799","1.7","13176","480","thing","Multiplayer Pentago","2","4","30","30","3","2009","2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","Mindtwister USA","Dutch; English; French; German","2009","Mindtwister Multilingual edition"
"Mumusok","428269","0","0","0","1","0","0","0","0","0","0","0","3","","14-2
*","","","","132941276","0","7.43333","1.75","0","17","thing","Mumusok","2","6","45","45","15","2025","2,6","6","8","","","","","","","standalone","","Piritus Games","Hungarian","2025","Hungarian edition"
"Munchkin","1927","0","0","0","1","0","0","0","0","0","0","0","3","","05-5","","","","54674069","5.69196","5.87413","1.8166","6364","101204","thing","Munchkin","3","6","120","120","60","2022","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Delta Vision Publishing","Hungarian","2022","Hungarian eighth edition"
"Munchkin Cthulhu","25071","0","0","0","1","0","0","0","0","0","0","0","3","","05-5","","","","90494923","5.88131","6.19577","1.7222","3948","13778","thing","Munchkin Cthulhu","3","6","90","90","90","2010","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Delta Vision Publishing","Hungarian","2010","Hungarian edition"
"Munchkin Rick and Morty","224134","0","0","0","1","0","0","0","0","0","0","0","3","","01-5","","","","130735650","5.60797","6.30521","1.6","8858","2484","thing","Munchkin Rick and Morty","3","6","120","120","60","2017","3,4,5,6","3,4,6","16+","","","","","","","standalone","","The Op Games","English","2017","English edition"
"My City","295486","0","0","0","1","0","0","0","0","0","0","0","3","","29-5
Örök játék verzió, legacy végigjátszva","","","","96768543","7.25193","7.58857","1.9887","263","24657","thing","My City","2","4","30","30","30","2020","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","KOSMOS; Piatnik","Czech; Hungarian; Slovak","2020","Multilingual edition"
"My Forest","268184","0","0","0","1","0","0","0","0","0","0","0","3","","23-4","","","","88480854","0","6.25","0","0","10","thing","My Forest","2","4","20","20","20","2016","","","","","","","","","","standalone","","Granna","English; Hungarian; Romanian; Russian; Serbian","0","Multilingual edition"
"Mycelia","378476","0","0","0","1","0","0","0","0","0","0","0","3","","78-5","","","","124380164","6.09344","7.3438","2.4694","2643","3532","thing","Mycelia","1","4","90","90","40","2024","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Reflexshop","Hungarian","2024","Hungarian edition"
"Myrmes","126792","0","0","0","1","0","0","0","0","0","0","0","3","","79-4","","","","53766918","6.7284","7.25325","3.454","849","7217","thing","Myrmes","2","4","120","120","60","2012","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","Ystari Games","English; German","2012","English/German edition"
"Mysterium","181304","0","0","0","1","0","0","0","0","0","0","0","3","","12-3","","","","53765739","7.05463","7.19566","1.8899","434","82248","thing","Mysterium","2","7","42","42","42","2016","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","Libellud","German","2016","German edition 2016-1"
"Mysterium Park","301767","0","0","0","1","0","0","0","0","0","0","0","3","","12-3","","","","90494726","6.51454","7.00548","1.4375","1268","14614","thing","Mysterium Park","2","6","45","45","30","2021","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2021","Hungarian edition"
"Mysterium: Promo Cards","186293","0","0","0","1","0","0","0","0","0","0","0","3","","12-3","","","","78809000","5.85393","7.54114","1.7692","0","2139","thing","Mysterium: Promo Cards","2","7","42","42","42","2015","2,3,4,5,6,7","4,5,6","8+","No necessary in-game text","","","","","","expansion","","Libellud","(neutral)","2015","First edition"
"Mysterium: Verborgene Zeichen","192661","0","0","0","1","0","0","0","0","0","0","0","3","","12-3","","","","78809037","6.75641","7.73479","1.7317","0","13871","thing","Mysterium: Hidden Signs","2","7","42","42","42","2016","3,4,5,6,7","5,6,7","8+","No necessary in-game text","","","","","","expansion","","Libellud","German","2016","German edition"
"Na, Ki A Jani?","231674","0","0","0","1","0","0","0","0","0","0","0","3","","08-2","","","","61240607","5.50561","5.60238","1","23546","635","thing","Who's the Dude?","3","8","30","30","30","2017","5,6,7,8","6,8","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Trefl","Hungarian","2017","Hungarian edition"
"Nacho Pile","366327","0","0","0","1","0","0","0","0","0","0","0","3","","14-5","","","","138485866","5.45788","5.30517","1","29181","928","thing","Nacho Pile","2","6","20","20","20","2023","2,3,4,5,6","4","6+","","","","","","","standalone","","Pandasaurus Games","English","2023","English second small bag edition"
"Naga Raja","244191","0","0","0","1","0","0","0","0","0","0","0","3","","51-3","","","","67616537","6.3648","7.1007","2.0119","1651","4838","thing","Naga Raja","2","2","30","30","30","2019","2","2","10+","No necessary in-game text","","","","","","standalone","","Hurrican","English; Hungarian; Italian; Polish","2019","English/Italian/Polish/Hungarian edition"
"A nagy western utazás: Második kiadás","341169","0","0","0","1","0","0","0","0","0","0","0","3","","82-2","","","","95190993","7.90481","8.27225","3.7048","31","24445","thing","Great Western Trail: Second Edition","1","4","150","150","75","2022","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","Delta Vision Publishing","Hungarian","2022","Hungarian edition"
"A Nagyi régi kredence","283242","0","0","0","1","0","0","0","0","0","0","0","3","","29-2","","","","92647355","5.95165","7.15084","1.8333","3431","2018","thing","The Whatnot Cabinet","1","4","30","30","20","2021","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Vagabund","Hungarian","2021","Hungarian edition"
"Nagyon T-Rex!","289018","0","0","0","1","0","0","0","0","0","0","0","3","","10-3","","","","83378946","5.5208","5.68665","1","18758","2769","thing","On a Scale of One to T-Rex","2","8","15","15","15","2021","4,5,6,7,8","6","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gém Klub Kft.","Hungarian","2021","Hungarian edition"
"Naishi","423648","0","0","0","1","0","0","0","0","0","0","0","3","","56-2","","","","137116141","6.0715","7.61886","2.1429","2758","1661","thing","Naishi","2","2","20","20","20","2025","2","2","10+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2025","Hungarian edition"
"Nasty Neighbors","332399","0","0","0","1","0","0","0","0","0","0","0","3","","06-4","","","","104129686","5.50247","6","1","24458","53","thing","Nasty Neighbors","2","5","40","40","15","2022","","","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","NASTOLA Games","English","0","English edition"
"Naughty or Nice","400467","0","0","0","1","0","0","0","0","0","0","0","3","","06-5","","","","113257931","5.52495","7.48222","1.8","17587","102","thing","Naughty or Nice","2","5","45","45","20","2023","2,3,4,5","4","4+","","","","","","","standalone","","Bunnyhog Games","English; Hungarian","2023","English/Hungarian edition"
"Naughty or Nice","400467","0","0","0","1","0","0","0","0","0","0","0","3","","02-3","","","","113318383","5.52495","7.48222","1.8","17587","102","thing","Naughty or Nice","2","5","45","45","20","2023","2,3,4,5","4","4+","","","","","","","standalone","","Bunnyhog Games","English; Hungarian","2023","English/Hungarian edition"
"Navoria felfedezői","371932","0","0","0","1","0","0","0","0","0","0","0","3","","66-5","","","","129311263","6.42224","7.52782","2.2469","1499","4498","thing","Explorers of Navoria","2","4","80","80","40","2024","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Nekojima","359029","0","0","0","1","0","0","0","0","0","0","0","3","","19-2","","","","123584349","6.24109","7.16469","1.102","2045","4298","thing","Nekojima","1","5","30","30","15","2024","2,3,4,5","2","6+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Nem mondod!","423533","0","0","0","1","0","0","0","0","0","0","0","3","","09-5","","","","139826112","5.52471","6.22737","1","17642","171","thing","Captain Obvious","3","10","60","60","30","2025","4,5,6,7,8,9,10","5","10+","","","","","","","standalone","","Gém Klub Kft.","Hungarian","2025","Hungarian edition"
"New York építészei","409693","0","0","0","1","0","0","0","0","0","0","0","3","","50-3","","","","135658697","6.29565","7.51824","2.6212","1845","3617","thing","Flatiron","1","2","45","45","45","2025","1,2","2","12+","No necessary in-game text","","","","","","standalone","","Vagabund","Hungarian","2025","Hungarian edition"
"New York Zoo","300877","0","0","0","1","0","0","0","0","0","0","0","3","","71-2","","","","86803583","6.69656","7.01009","1.9583","906","18181","thing","New York Zoo","1","5","60","60","30","2021","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","Compaya.hu: Gamer Café Kft.; Feuerland Spiele","Hungarian","2021","Hungarian edition"
"Nézd csak! Mi változott?","162191","0","0","0","1","0","0","0","0","0","0","0","3","","24-4","","","","57223277","5.54883","6.17209","1.1667","13167","396","thing","Look!","2","6","10","10","10","2012","2,3,4,5","3","3–5","No necessary in-game text","","","","","","standalone","","Piatnik","Hungarian","0","Hungarian edition"
"Niagara","13308","0","0","0","1","0","0","0","0","0","0","0","3","","59-3","","","","53572312","6.22984","6.45575","1.8325","2087","11556","thing","Niagara","3","5","45","45","30","2005","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","Zoch Verlag","English; German","2005","English/German edition 2005 with SdJ"
"Nidavellir","293014","0","0","0","1","0","0","0","0","0","0","0","3","","64-5","","","","95420328","7.26853","7.55564","2.1191","252","20430","thing","Nidavellir","2","5","45","45","45","2021","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","Reflexshop","Hungarian","2021","Hungarian edition"
"Nomad","351208","0","0","0","1","0","0","0","0","0","0","0","3","","71-5","","","","106127675","5.52892","7.33409","2.2857","16623","82","thing","Nomad","2","4","60","60","60","2023","2,3,4","2","10","No necessary in-game text","","","","","","standalone","","Piatnik","Czech; English; Hungarian; Slovak","2023","Multilingual edition"
"Northgard: Uncharted Lands","274124","0","0","0","1","0","0","0","0","0","0","0","3","","76-1","","","","105455366","6.51701","7.58157","2.7596","1262","4639","thing","Northgard: Uncharted Lands","2","5","90","90","45","2022","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gém Klub Kft.","Hungarian","2022","Hungarian edition"
"Notthingham Bírája: 2. kiadás","298638","0","0","0","1","0","0","0","0","0","0","0","3","","13-1","","","","96454589","6.5123","7.2112","1.7037","1276","10252","thing","Sheriff of Nottingham: 2nd Edition","3","6","60","60","60","2021","4,5,6","5","8+","No necessary in-game text","","","","","","standalone","","CMON Global Limited; Reflexshop","Hungarian","2021","Hungarian edition"
"Nova Luna","284435","0","0","0","1","0","0","0","0","0","0","0","3","","28-2","","","","82936228","6.89199","7.25984","1.8754","621","14494","thing","Nova Luna","1","4","60","60","30","2021","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","Compaya.hu: Gamer Café Kft.; Edition Spielwiese","Hungarian","2021","Hungarian edition"
"Nucleum","396790","0","0","0","1","0","0","0","0","0","0","0","3","","83-1","","","","112530165","7.4684","8.11791","4.1939","145","13243","thing","Nucleum","1","4","150","150","60","2023","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","Board&Dice","English","2023","English edition"
"Nutventure","422059","0","0","0","1","0","0","0","0","0","0","0","3","","23-5","","","","138748259","0","7.33333","0","0","29","thing","Nutventure","2","4","45","45","30","2024","","","","","","","","","","standalone","","","","",""
"Nyerőleves","265524","0","0","0","1","0","0","0","0","0","0","0","3","","14-5","","","","136784367","5.78073","6.24044","1.2","4952","6416","thing","Ramen Fury","2","5","30","30","30","2020","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Gém Klub Kft.; Mixlore","Hungarian","2020","Hungarian edition"
"Nyilván","338747","0","0","0","1","0","0","0","0","0","0","0","3","","12-4","","","","95192059","5.53248","6.21743","1.25","15791","237","thing","It's Obvious","3","6","30","30","20","2022","4","4","","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.; Gigamic","Hungarian","2022","Hungarian edition"
"Nyolc Perces Birodalom","131366","0","0","0","1","0","0","0","0","0","0","0","3","","33-2","","","","53477640","6.31514","6.54566","1.6267","1793","10790","thing","Eight-Minute Empire","2","5","20","20","8","2014","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","Piatnik","Hungarian","2014","Hungarian edition"
"Nyomok sűrűjében","331059","0","0","0","1","0","0","0","0","0","0","0","3","","11-2","","","","96607723","5.87435","6.6294","1.0714","4000","2614","thing","Last Message","3","8","15","15","15","2021","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","IELLO; Reflexshop","Hungarian","2021","Hungarian edition"
"A nyugalom tengere","288513","0","0","0","1","0","0","0","0","0","0","0","3","","03-3","","","","89784856","6.37438","6.93088","1.3431","1633","7753","thing","Tranquility","1","5","20","20","15","2021","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2021","Hungarian edition"
"A nyugati királyság építőmesterei","236457","0","0","0","1","0","0","0","0","0","0","0","3","","80-2","","","","62943193","7.5152","7.71003","2.7583","126","43956","thing","Architects of the West Kingdom","1","5","80","80","60","2019","1,2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Reflexshop","Hungarian","2019","Hungarian edition"
"A Nyugati Királyság Lovagjai","266810","0","0","0","1","0","0","0","0","0","0","0","3","","80-2","","","","64656274","7.66234","7.95898","3.7119","78","32384","thing","Paladins of the West Kingdom","1","4","120","120","90","2019","1,2,3","2","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Reflexshop","Hungarian","2019","Hungarian edition"
"A nyugati királyság várgrófjai","296151","0","0","0","1","0","0","0","0","0","0","0","3","","80-2","","","","75966817","7.36983","7.8017","3.4551","194","21894","thing","Viscounts of the West Kingdom","1","4","90","90","60","2020","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","Reflexshop","Hungarian","2020","Hungarian edition"
"Nyúlmentő akció","13436","0","0","0","1","0","0","0","0","0","0","0","3","","22-5","","","","56438295","5.5114","5.66808","1","21710","471","thing","Hopp hopp Häschen","2","5","15","15","10","2018","2,3,4,5","3","2–8","No necessary in-game text","","","","","","standalone","","Compaya.hu: Gamer Café Kft.","Hungarian","2018","Hungarian edition"
"Óceán","232414","0","0","0","1","0","0","0","0","0","0","0","3","","78-4","","","","97833017","6.89617","7.39975","2.8548","615","13790","thing","Oceans","2","4","90","90","60","2021","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Reflexshop","Hungarian","2021","Hungarian edition"
"Oceanos","192860","0","0","0","1","0","0","0","0","0","0","0","3","","30-1","","","","53768080","6.26543","6.78691","1.8375","1952","6126","thing","Oceanos","2","5","45","45","30","2016","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","IELLO","English","2016","English first edition"
"OffBeat: A ritmusjáték ami magával ragad","238529","0","0","0","1","0","0","0","0","0","0","0","3","","10-1","","","","88179962","0","5.41667","0","0","30","thing","Offbeat","2","4","20","20","10","2017","","","","","","","","","","standalone","","Keller & Mayer","Hungarian","0","Hungarian edition"
"Offboard","89951","0","0","0","1","0","0","0","0","0","0","0","3","","54-1","","","","57646853","5.57769","6.54446","2.25","10535","402","thing","Offboard","2","2","20","20","20","2011","2","2","8+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2011","Hungarian edition"
"Ohh...igen?","373855","0","0","0","1","0","0","0","0","0","0","0","3","","08-4","","","","137142012","0","5.79259","1","0","85","thing","Ohh...igen?","2","6","30","30","30","2022","","","","","","","","","","standalone","","Gém Klub Kft.","Hungarian","2022","Hungarian edition"
"Ohne Moos Nix Los!","1797","0","0","0","1","0","0","0","0","0","0","0","3","","I. ","","","","108822690","5.08919","4.89049","1.2199","29855","7458","thing","Pay Day","2","6","30","30","30","2014","2,3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Hasbro","German","2014","Hasbro German edition 2014"
"OK Boomer!","313463","0","0","0","1","0","0","0","0","0","0","0","3","","10-5","","","","117655485","5.46342","4.63455","1","29027","461","thing","OK Boomer!","2","8","60","60","30","2020","4,6,8","4,6","16+","","","","","","","standalone","","","","",""
"Okiya","125311","0","0","0","1","0","0","0","0","0","0","0","3","","56-2
","","","","53577966","6.00192","6.54923","1.2169","3116","4452","thing","Okiya","2","2","10","10","10","2012","2","2","6+","No necessary in-game text","","","","","","standalone","","Jactalea","English; French; German; Portuguese; Spanish","0","Multilingual first edition"
"Old & New","7688","0","0","0","1","0","0","0","0","0","0","0","3","","25-2","","","","83378442","5.04958","4.79449","1.1417","29858","6513","thing","Memory","2","6","30","30","30","2020","2,3,4","2","3–16","No necessary in-game text","","","","","","standalone","","Piatnik","Czech; Dutch; English; French; German; Hungarian; Polish; Slovak","2020","Piatnik multilingual edition 2020"
"Old London Bridge","354273","0","0","0","1","0","0","0","0","0","0","0","3","","32-3","","","","94639460","5.86909","7.14076","1.8966","4047","1135","thing","Old London Bridge","2","4","45","45","45","2022","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","Piatnik; Queen Games","Hungarian","2022","Hungarian edition"
"Oltakozz okosan!","365358","0","0","0","1","0","0","0","0","0","0","0","3","","12-1","","","","96642983","0","5.66667","0","0","16","thing","Oltakozz okosan!","2","6","25","25","15","2021","","","","","","","","","","standalone","","Korona Games","Hungarian","2021","Hungarian edition"
"Oltréé: Az őrszemek krónikái","293835","0","0","0","1","0","0","0","0","0","0","0","3","","62-2","","","","97811703","6.43474","7.46598","2.2371","1471","5356","thing","Oltréé","2","4","60","60","60","2022","1,2,3,4","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Gém Klub Kft.","Hungarian","2022","Hungarian edition"
"One Night Revolution","176361","0","0","0","1","0","0","0","0","0","0","0","3","","11-5","","","","53665717","5.73049","6.06901","1.8696","5649","5123","thing","One Night Revolution","3","10","15","15","15","2015","4,5,6,7,8,9,10","5,6,7","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Indie Boards & Cards","English","2015","English first edition"
"Operáció","3737","0","0","0","1","0","0","0","0","0","0","0","3","","23-1","","","","53578000","4.56926","4.18028","1.1067","29883","9072","thing","Operation","1","6","10","10","10","2011","2,3,4,5","3","5–12","No necessary in-game text","51","","","2191","Operáció","standalone","","Hasbro","Hungarian","2011","Hasbro Hungarian edition"
"Operators","254025","0","0","0","1","0","0","0","0","0","0","0","3","","13-2","","","","66159846","5.50608","5.97833","2.1667","23398","156","thing","Operators","2","10","90","90","20","2018","4,6,7,8,9,10","6,8,10","","No necessary in-game text","","","","","","standalone","","Cogitate Games","English; French; German; Hungarian; Spanish","2018","Multilingual edition"
"Origami","234469","0","0","0","1","0","0","0","0","0","0","0","3","","04-2","","","","87041619","5.80083","6.57816","1.7222","4716","2022","thing","Origami","2","4","30","30","15","2020","2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Gém Klub Kft.","Hungarian","2020","Hungarian edition"
